duplicate_group_id,duplicate_status_repaired,duplicate_match_level,duplicate_keep,listing_id,source,source_listing_id,url,city,neighborhood_clean,surface_m2,price_mad,bedrooms,bathrooms,title_raw,source_record_path
confirmed-3a49515da3de,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8353800,mubawab.ma,8353800.0,https://www.mubawab.ma/fr/a/8353800/appartement-sans-vis-%C3%A0-vis-r%C3%A9nov%C3%A9-au-triangle-d-or,Casablanca,Triangle d'Or,197.0,3750000.0,3.0,2.0,Appartement sans vis à vis rénové au Triangle d'Or,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-3a49515da3de,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:365fe1435451b6b53cc44286,mubawab.ma,,,Casablanca,Triangle d'Or,197.0,3750000.0,3.0,2.0,Appartement sans vis à vis rénové au Triangle d'Or,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-41a1902db4f2,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8121263,mubawab.ma,8121263.0,https://www.mubawab.ma/fr/a/8121263/vente-appartement-rabat-hay-riad,Rabat,Riyad,210.0,5800000.0,3.0,2.0,Vente Appartement Rabat Hay Riad,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-41a1902db4f2,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:835bed36d2a695ce2491ee30,mubawab.ma,,,Rabat,Riyad,210.0,5800000.0,3.0,2.0,Vente Appartement Rabat Hay Riad,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-455c4ca886e0,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8201202,mubawab.ma,8201202.0,https://www.mubawab.ma/fr/a/8201202/vente-appartement-bas-agdal-rabat,Rabat,Agdal,132.0,2000000.0,3.0,1.0,Vente Appartement Bas Agdal Rabat,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-455c4ca886e0,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:f1a4bacfce5623f293b09482,mubawab.ma,,,Rabat,Agdal,132.0,2000000.0,3.0,1.0,Vente Appartement Bas Agdal Rabat,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-49ca425c425c,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:7751448,mubawab.ma,7751448.0,https://www.mubawab.ma/fr/a/7751448/vente-appartement-rabat-agdal,Rabat,Agdal,233.0,2912500.0,2.0,2.0,Vente Appartement Rabat Agdal,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-49ca425c425c,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:6551b6bfcda466c395046724,mubawab.ma,,,Rabat,Agdal,233.0,2912500.0,2.0,2.0,Vente Appartement Rabat Agdal,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-548fd5029001,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8329487,mubawab.ma,8329487.0,https://www.mubawab.ma/fr/a/8329487/vente-appartement-%C3%A0-rabat-haut-agdal,Rabat,Haut Agdal,226.0,6450000.0,3.0,2.0,Vente appartement à Rabat Haut Agdal,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-548fd5029001,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:8810f6d50c6a91ca4e72ef1d,mubawab.ma,,,Rabat,Haut Agdal,226.0,6450000.0,3.0,2.0,Vente appartement à Rabat Haut Agdal,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-5b3ff401a3a3,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8285414,mubawab.ma,8285414.0,https://www.mubawab.ma/fr/a/8285414/immeuble-r2-6-studios,El Jadida,Narjiss,320.0,2100000.0,2.0,2.0,"Immeuble R2,6 studios",data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-5b3ff401a3a3,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:092299e25348d3539871e3fb,mubawab.ma,,,El Jadida,Narjiss,320.0,2100000.0,2.0,2.0,"Immeuble R2,6 studios",git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-5b413249e6b1,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8363830,mubawab.ma,8363830.0,https://www.mubawab.ma/fr/a/8363830/apartment-to-purchase-in-hivernage-2-rooms-furnishings,Marrakech,Hivernage,52.0,1300000.0,1.0,1.0,Apartment to purchase in Hivernage. 2 rooms. Furnishings,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
