listing_id,outlier_decision,outlier_reasons,batch_id,property_type_repaired,city,surface_m2,price_mad,price_per_m2,bedrooms,bathrooms,title_raw,price_raw,url
mubawab.ma:native:8350508,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,70.0,8460000.0,120857.14,2.0,1.0,,,https://www.mubawab.ma/fr/a/8350508/appartement-ensoleill%C3%A9-%C3%A0-sidi-moumen
mubawab.ma:native:8350848,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,duplex,Marrakech,120.0,12650000.0,105416.67,2.0,2.0,,,https://www.mubawab.ma/fr/a/8350848/duplex-d%E2%80%99exception-avec-piscine-priv%C3%A9e-au-c%C5%93ur-de-gu%C3%A9liz-%E2%80%93-marrakech
mubawab.ma:native:8350855,uncertain,price_above_p99|price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Casablanca,200.0,13500000.0,67500.0,3.0,2.0,,,https://www.mubawab.ma/fr/a/8350855/apt-neuf-grande-terrasse-%C3%A1-vendre-oasis
mubawab.ma:native:8350857,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,studio,Casablanca,42.0,1980000.0,47142.86,1.0,1.0,,,https://www.mubawab.ma/fr/a/8350857/studio-a-vendre-quartier-les-princesses
mubawab.ma:native:8351442,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Agadir,77.0,5900000.0,76623.38,2.0,1.0,,,https://www.mubawab.ma/fr/a/8351442/appartement-proximit%C3%A9-souk-el-had
mubawab.ma:native:8352270,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,100.0,11400000.0,114000.0,3.0,2.0,,,https://www.mubawab.ma/fr/a/8352270/bel-appartement-a-gauthier
mubawab.ma:native:8352495,valid_extreme,price_per_m2_above_reference_p99,recovery_misplaced_notebook,studio,Tanger,66.0,3000000.0,45454.55,3.0,1.0,,,https://www.mubawab.ma/fr/a/8352495/luxueux-studios-tr%C3%A8s-confortable-plein-centre
mubawab.ma:native:8352848,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Larache,77.0,6650000.0,86363.64,2.0,1.0,,,https://www.mubawab.ma/fr/a/8352848/appartement-%C3%A0-vendre-2-belles-chambres-antenne-satellite
mubawab.ma:native:8353505,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Tanger,99.0,9980000.0,100808.08,3.0,1.0,,,https://www.mubawab.ma/fr/a/8353505/appartement-tres-propre-quartier-drissia
mubawab.ma:native:8353978,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,63.0,5460000.0,86666.67,2.0,1.0,,,https://www.mubawab.ma/fr/a/8353978/appartement-a-vendre-hay-hassani
