listing_id,repair_exclusion_reason,duplicate_group_id,outlier_decision,outlier_reasons,source_record_path,city,property_type_repaired,surface_m2,price_mad,price_per_m2,title_raw,price_raw,url
mubawab.ma:native:8256090,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,73.0,9510000.0,130273.97,,,https://www.mubawab.ma/fr/a/8256090/vente-d-un-bel-appartement-%C3%A0-sidi-moumen-surface-totale-73-m%C2%B2
mubawab.ma:native:8256322,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,108.0,11700000.0,108333.33,,,https://www.mubawab.ma/fr/a/8256322/superbe-appartement-%C3%A0-vendre-%C3%A0-californie-3-grandes-pi%C3%A8ces-avec-ascenseur-et-terrasse
mubawab.ma:native:8257157,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,bureau,98.0,11400000.0,116326.53,,,https://www.mubawab.ma/fr/a/8257157/appartement-bureau-%C3%A0-2-mars-avec-balcon-et-parking
mubawab.ma:native:8259830,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,69.0,7610000.0,110289.86,,,https://www.mubawab.ma/fr/a/8259830/appartement-%C3%A0-vendre-%C3%A0-al-hadika-2-pi%C3%A8ces-confortables-meubl%C3%A9
mubawab.ma:native:8260575,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,studio,106.0,8740000.0,82452.83,,,https://www.mubawab.ma/fr/a/8260575/studio-%C3%A0-vendre-106-m%C2%B2-ain-borja-casablanca
mubawab.ma:native:8261095,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,91.0,12800000.0,140659.34,,,https://www.mubawab.ma/fr/a/8261095/appartement-%C3%A0-vendre-91-m%C2%B2-3-chambres-hay-chrifa-casablanca
mubawab.ma:native:8261298,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,93.0,13725400.0,147584.95,,,https://www.mubawab.ma/fr/a/8261298/el-wissal-appartement-%C3%A0-vendre-93-m%C2%B2-3-chambres-anassi-casablanca
mubawab.ma:native:8261747,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,74.0,10785000.0,145743.24,,,https://www.mubawab.ma/fr/a/8261747/appartement-%C3%A0-vendre-74-m%C2%B2-2-chambres-ain-borja-casablanca
mubawab.ma:native:8262055,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,100.0,10900000.0,109000.0,,,https://www.mubawab.ma/fr/a/8262055/r%C3%A9sidence-rita-appartement-%C3%A0-vendre-100-m%C2%B2-2-chambres-almaz-casablanca
mubawab.ma:native:8262123,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,El Jadida,studio,65.0,4890000.0,75230.77,,,https://www.mubawab.ma/fr/a/8262123/studio-%C3%A0-vendre-65-m%C2%B2-r%C3%A9sidence-olablanca-el-jadida
